timestamp_utc,total_gb,available_gb,used_gb,used_percent,swap_total_gb,swap_used_gb,swap_percent,commit_used_gb,commit_limit_gb,commit_percent,page_faults_per_sec,efficiency_score,efficiency_label
2026-01-07T20:08:08.864592+00:00,7.9255,0.8644,7.0611,89.1,10.0,1.0624,10.6,13.7042,17.9255,76.45,5700.161,0,Poor
2026-01-07T20:08:09.873541+00:00,7.9255,0.8573,7.0682,89.2,10.0,1.0624,10.6,13.7064,17.9255,76.46,2699.817,0,Poor
2026-01-07T20:08:10.883314+00:00,7.9255,0.8714,7.0541,89.0,10.0,1.062,10.6,13.6951,17.9255,76.4,29539.342,0,Poor
2026-01-07T20:08:11.917407+00:00,7.9255,0.862,7.0636,89.1,10.0,1.062,10.6,13.6826,17.9255,76.33,6106.545,0,Poor
2026-01-07T20:08:12.954116+00:00,7.9255,0.869,7.0565,89.0,10.0,1.0617,10.6,13.6822,17.9255,76.33,4355.314,0,Poor
2026-01-07T20:08:13.981954+00:00,7.9255,0.8654,7.0601,89.1,10.0,1.0617,10.6,13.6832,17.9255,76.33,3605.338,0,Poor
2026-01-07T20:08:15.003895+00:00,7.9255,0.8654,7.0602,89.1,10.0,1.0617,10.6,13.6853,17.9255,76.35,3045.271,0,Poor
2026-01-07T20:08:16.066324+00:00,7.9255,0.863,7.0625,89.1,10.0,1.0617,10.6,13.6854,17.9255,76.35,18572.966,,
2026-01-07T20:08:17.599149+00:00,7.9255,0.8703,7.0553,89.0,10.0,1.0617,10.6,13.6855,17.9255,76.35,3226.066,0,Poor
2026-01-07T20:08:18.609034+00:00,7.9255,0.8672,7.0584,89.1,10.0,1.0617,10.6,13.681,17.9255,76.32,6251.205,0,Poor
2026-01-07T20:08:19.619760+00:00,7.9255,0.8653,7.0603,89.1,10.0,1.0617,10.6,13.6803,17.9255,76.32,9137.99,0,Poor
2026-01-07T20:08:20.632088+00:00,7.9255,0.9367,6.9889,88.2,10.0,1.0617,10.6,13.6103,17.9255,75.93,52260.766,0,Poor
2026-01-07T20:08:21.670755+00:00,7.9255,0.952,6.9735,88.0,10.0,1.0616,10.6,13.6022,17.9255,75.88,23454.134,0,Poor
2026-01-07T20:08:22.741418+00:00,7.9255,0.9582,6.9673,87.9,10.0,1.0616,10.6,13.6005,17.9255,75.87,3551.06,0,Poor
2026-01-07T20:08:23.798279+00:00,7.9255,0.9575,6.9681,87.9,10.0,1.0616,10.6,13.5993,17.9255,75.87,14444.699,,
2026-01-07T20:08:24.855256+00:00,7.9255,0.8515,7.0741,89.3,10.0,1.0616,10.6,13.5846,17.9255,75.78,42962.459,,
2026-01-07T20:08:25.890670+00:00,7.9255,0.8158,7.1097,89.7,10.0,0.9686,9.7,13.5757,17.9255,75.73,25549.038,,
2026-01-07T20:08:26.917785+00:00,7.9255,0.7759,7.1497,90.2,10.0,0.9214,9.2,13.5759,17.9255,75.73,35777.977,,
2026-01-07T20:08:28.485690+00:00,7.9255,0.7767,7.1488,90.2,10.0,0.9214,9.2,13.5695,17.9255,75.7,4992.131,,
2026-01-07T20:08:29.495150+00:00,7.9255,0.7769,7.1486,90.2,10.0,0.9214,9.2,13.5675,17.9255,75.69,3525.5,0,Poor
2026-01-07T20:08:30.504660+00:00,7.9255,0.796,7.1296,90.0,10.0,0.9214,9.2,13.5473,17.9255,75.58,3294.667,0,Poor
2026-01-07T20:08:31.513853+00:00,7.9255,0.8632,7.0624,89.1,10.0,0.9214,9.2,13.5477,17.9255,75.58,5703.562,,
2026-01-07T20:08:32.526133+00:00,7.9255,0.8872,7.0383,88.8,10.0,0.9214,9.2,13.5478,17.9255,75.58,29224.85,,
2026-01-07T20:08:33.571344+00:00,7.9255,1.1929,6.7326,84.9,10.0,1.0294,10.3,13.5521,17.9255,75.6,40627.309,,
2026-01-07T20:08:34.595460+00:00,7.9255,1.1857,6.7398,85.0,10.0,1.0279,10.3,13.5491,17.9255,75.59,13614.661,,
2026-01-07T20:08:35.637243+00:00,7.9255,1.19,6.7356,85.0,10.0,1.0276,10.3,13.5387,17.9255,75.53,14717.075,,
